nombre|artista|duracion
Dubtrap|All Star Brasil|244000
Ela É Problema|Raufão|232334
Trap Girl|NaBrisa|204387
Legaliza|MISAEL|274752
Bonnie Clyde|Skinny D RDT|152129
Felix Felices|N.A|169714
Alone|Marshmello|273803
The Hills - RL Grime Remix|The Weeknd|271067
Light|San Holo|239853
Sing Me to Sleep - Marshmello Remix|Alan Walker|192480
Loyal|ODESZA|207827
HyperParadise - Flume Remix|Hermitude|268307
Indian Summer|Jai Wolf|248480
Rollup - Baauer Remix|Flosstradamus|191053
Closer|Lemaitre|270533
Take Ü There (feat. Kiesza) - Zeds Dead Remix|Skrillex|247895
Feel Good (feat. Daya)|Gryffin|248156
Dum Dee Dum - JiKay Remix|Keys N Krates|182387
Forget About Me|Rich Delinquent|225000
Closer - T-Mass Remix|The Chainsmokers|247520
Mask Off - Marshmello Remix|Future|179200
Mind (feat. Kai)|Jack Ü|242069
All Four Walls - Graves Remix|Gorgon City|188883
Magic|Jauz|290704
New Rules - Alison Wonderland Remix|Dua Lipa|263404
Cherry Top|Gabriel Tirado|184111
Bird Machine|DJ Snake|198000
Don't Let Me Down - Illenium Remix|The Chainsmokers|218933
GUD VIBRATIONS|NGHTMRE|224211
How Deep Is Your Love - DJ Snake Remix|Calvin Harris|222400
Blame|Ekali|177152
Runaway (U & I) - Dillon Francis Remix|Galantis|213000
Sinner|24hrs|153227
I Wanna Know|RL Grime|206727
Cold Water - Boombox Cartel Remix|Major Lazer|227773
Purple Lamborghini (with Rick Ross)|Skrillex|215510
Lean On (feat. MØ & DJ Snake) - CRNKN Remix|Major Lazer|204000
Thief|Ookay|239711
CoCo - Flosstradamus Remix|O.T. Genasis|221612
Flatline|Blanke|225877
I Want U|Alison Wonderland|210017
Rushing Back - Petit Biscuit Remix|Flume|189491
DJ Turn It Up|Yellow Claw|211777
Revolution (Unlike Pluto Remix) [feat. Faustix & Imanos and Kai]|Diplo|198121
MyBoi - TroyBoi Remix|Billie Eilish|211304
Nudies|24hrs|165894
Bap U|Party Favor|168207
Ain't My Fault - R3hab Remix|Zara Larsson|158773
Easy Go|Grandtheft|190912
Clarity - Brillz Remix|Zedd|357480
The Drop|Bro Safari|229851
Secrets - Diplo Remix|Tiësto|205685
Blac Chyna|Lambo Anlo|158897
Propaganda|DJ Snake|249600
Heroes (we could be) - Branchez Remix|Alesso|204907
The Buzz (feat. Mataya & Young Tapz)|Hermitude|221787
Core|RL Grime|236800
Wild Thoughts - Medasin Dance Remix|DJ Khaled|274670
Sunburn|DROELOE|226981
Evil Twin|THE TRASH MERMAIDS|166364
Mine - Bazzi vs. Nitti Gritti Remix|Bazzi vs.|199156
Never Be Like You|Flume|233337
Silence - Slushii Remix|Marshmello|194421
Sleepy Eyes|Elohim|202887
Jackie Chan - Lookas Remix|Tiësto|219429
Better Not (with Wafia)|Louis The Child|222866
Triple Helix|KILLY|142053
You & Me - Flume Remix|Disclosure|282813
Can't Hide|Whethan|184000
Colors - Audien Remix|Halsey|270222
Let Me Love You - Marshmello Remix|DJ Snake|180013
Say It|Flume|262521
Stay High - Habits Remix|Tove Lo|258387
Dinner with the Devil|Binoy|193045
Sweet Nothing - Diplo + Grandtheft Remix|Calvin Harris|308787
Without Me - ILLENIUM Remix|Halsey|248906
You - Brillz Remix|Galantis|278053
Harlem Shake|Baauer|196664
Satisfaction - RL Grime Remix|Benny Benassi|259040
Soundclash|Flosstradamus|199995
Self-love|Binoy|165600
It's All on U - T-Mass & LZRD Remix|ILLENIUM|204778
Spaceman - Carnage Festival Trap Remix|Hardwell|234160
Sunset Lover|Petit Biscuit|238907
Jah No Partial - Yellow Claw & Yung Felix Remix|Major Lazer|190380
I Like Tuh|Carnage|189000
I Like It - Dillon Francis Remix|Cardi B|219200
MadDog2020|Spade Melo|178500
Beautiful Creatures (feat. MAX)|ILLENIUM|240508
Side Effects - Nolan van Lith Remix|The Chainsmokers|184160
Afterhours feat. Diplo & Nina Sky|TroyBoi|275604
Tell Me|RL Grime|281143
Summer - Diplo & Grandtheft Remix|Calvin Harris|267253
Coming Over|Dillon Francis|178333
It's Mine|Spade Melo|176606
UCLA|RL Grime|192000
Something About You - ODESZA Remix|Hayden James|343800
Like A Bitch - Extended Mix|Zomboy|264000
Original Don (feat. The Partysquad) [Flosstradamus Remix]|Major Lazer|234380
Keep It 100|Grandtheft|214138
Fortress - Just A Gent Remix|ILLENIUM|227087
Clicced|Spade Melo|178320
Apollo|Lookas|268138
Limelight (NGHTMRE Remix)|Just A Gent|254897
Higher Ground|TNGHT|199343
Otra Más|SANTI|208421
Blood - Remix|Moonkey|276004
Estrellas de Rock|BVNDIDOS|205019
Contáme|Yung Wacho|135682
Agradable - Remix|Jeeiph|282000
Dubai|Mesita|157732
Playgirl|LODU GOSH|173455
Impala|Santoz|250583
DANI: Bzrp Freestyle Sessions, Vol. 7|Bizarrap|137365
OUKE|CA7RIEL|178264
24K|Frijo|123808
CANGURO|WOS|196745
John C: Bzrp Music Sessions, Vol. 18|Bizarrap|133692
Solo Contigo|Lodel|213000
Todo Arde|Pablo Dueñas|232389
Vuelta a la Luna - Remix|Ysy A|301647
Frijo: Bzrp Music Sessions, Vol. 10|Bizarrap|130912
Paranoia|Frijo|194940
Por Eso Vine|Paulo Londra|178534
Draco|Dillom|154021
Forever Alone|Paulo Londra|215963
Vapormax|Duki|112381
Ferrari|Duki|181322
No Lo Entiendo|Bhavi|176018
Pocas Horas|Alejo Park|199719
Homerun (Intro)|Paulo Londra|149505
Sol y Luna|Duki|163621
Tal Vez|Paulo Londra|264483
BZRP Music Sessions, Vol. 3 (feat. Paco Amoroso)|Bizarrap|153373
Dame Más|Bhavi|133466
Makina de Armado|Duki|126641
Pa Mí - Remix|Dalex|360960
Pistola II|Pekeño 77|172806
Eclipse|Lit Killah|208103
So Fresh|Paulo Londra|167975
Adan y Eva|Paulo Londra|258639
Realidad|Khea|181850
Tan Bien (feat. Agus Padilla)|Lit Killah|204989
No Me Llores|Duki|191846
Otra Botella|Neo Pistea|199586
M.I.A|Khea;Omar Varela|206222
Toda - Remix|Alex Rose|367680
Besame|Bhavi|214615
Una vez más|Lit Killah|214000
Como Le Digo|Khea|226101
Te Necesito|Bhavi|242424
Perdóname|FMK|162574
Uno Del Pato|Bimoud|228571
Calentita|Khea|220858
Wanda Nara|Duki Y Neo Pistea|157309
S.A.D|Khea|128375
Otro Level|Ysy A|120210
Fvck Luv|Duki|181959
Hola Bebé|Eladio Carrion|185143
Piso|Bhavi|219925
Rolling Stone|Ecko|196875
Pastel Con Nutella|Ysy A|235465
Y Si Te Vas|Duki|195233
Ahora no|FMK|199161
Solo de Mi|Bad Bunny|197968
Dime Cuantas Veces|Micro Tdh|213960
Sigues Preguntando - Remix|Alex Rose|270973
Cubierto de Ti|Rauw Alejandro|269589
DESPUES QUE TE PERDI|Jon Z|247174
Culpables|KAROL G|226627
Amorfoda|Bad Bunny|155676
A fuego - Bizarrap Remix|DrefQuila|239079
She Don't Give a FO (feat. Khea)|Duki|209531
Vete|Khea|182183
Triste|Bryant Myers|263840
No Pensarte|Myke Towers|221484
Vuelve a Mi|Micro Tdh|186667
Vuelva a Ver|Dalex|189250
Pa Tu Casa|Kevin Roldan|291453
Dime Si Te Acuerdas|Bad Bunny|187273
Aunque Ya No Estés|MC Davo|202241
Good Vibes|Fuego|235720
Recuerdos|Nicki Nicole|170800
Soy Peor|Bad Bunny|257328
Mi Llamada|Rauw Alejandro|255080
Si Te Lastime|Seven Kayne|133719
Romeo y Julieta|Paulo Londra|181554
Slow|Tobi|272637
Desperte Sin Ti (Remix)|Noriel|319587
El Farsante - Remix|Ozuna|258000
Ella busca|DrefQuila|233147
Condiciones|Maikel Delacalle|195429
No Eres Tú|Jesse Baez|182067
Tú No Lo Amas|Anuel AA|214125
No Te Hagas|Jory Boy|233251
Pa Mi|Lyanno|230435
Puedo Ser|Cazzu|198889
No vuelvas|DrefQuila|216522
Prefiero|Jere Profeta|193548
Te Boté - Remix|Nio Garcia|417920
GPS|Maluma|216307
Olvidarte|Eladio Carrion|115200
Hasta Las 6|Kodigo|441504
CHAT|Young Cister|181930
Ya No|Lautaro Lopez|179966
Que Bien Te Ves|Rauw Alejandro|225034
Klk Cupido|Mickey Then|248040
No Te Vas|Rabeat|206534
Nada más que hablar|Chita|233691
Te Perdí|Lautaro Lopez|209580
Ojala|Bryant Myers|304733
Ya No Estás Aquí|Kid Gallo|207324
Como Nadie|Kodigo|136373
Quien Eres Tu|Ocxho|215172
Neón|M4gna|184600
Memoria Rota|Arcangel|205451
Sigues Con El|Dimelo Flow|226533
Tusa|KAROL G|200960
Infeliz|Arcangel|221103
Vete|Bad Bunny|192024
Intenso|Chriss Oz|224522
Imaginate|Rich Music LTD|225013
Bellaquita|Dalex|204787
Fantasias|Rauw Alejandro|199711
Aventura|Lunay|217130
Loco Contigo (feat. J. Balvin & Tyga)|DJ Snake|185195
Hace un Mes|Myke Towers|168200
Party (feat. A Boogie Wit da Hoodie)|Paulo Londra|210316
Te Quemaste|Manuel Turizo|199091
Otro Trago - Remix|Sech|287773
DOLLAR|Becky G|203486
UN PESO|J Balvin|277107
LA CANCIÓN|J Balvin|242573
Mia 2.0|Bad Bunny|223190
Prohibido (feat. Bad Bunny)|Lary Over|223086
Bebe (feat. Anuel AA)|Ozuna|231602
Toda|Alex Rose|240000
Toda - Real Hasta La Muerte Remix|Alex Rose|303073
QUE PRETENDES|J Balvin|222347
Callaita|Bad Bunny|250534
Demasiado Loco|Paulo Londra|166549
Cuaderno|Dalex|286507
La Mentira - Remix|Brytiago|388800
Querido Amigo|Paulo Londra|228320
Sigan Hablando de Mi|Paulo Londra|160875
No Me Conoce - Remix|Jhay Cortez|307547
Dispuesto (feat. Ozuna)|Maluma|162040
Soltera - Remix|Lunay|266087
La Cartera|Farruko|289907
Resort|Farruko|204627
Que Mas Pues - Remix|Sech|305962
Sola|Khea|199805
Verte Ir|DJ Luian|267500
Y Ahora|Nengo Flow|317907
HP|Maluma|184436
La Forma en Que Me Miras|Super Yei|307435
Si Se Da|Myke Towers|237013
Controla|Brytiago|208000
Going Bad (feat. Drake)|Meek Mill|180522
Tenemos Que Hablar|Bad Bunny|224512
Como Antes|Bad Bunny|230578
A Solas - Remix|Lunay|273198
Desde el Corazón|Bad Bunny|127040
Otra Noche en Miami|Bad Bunny|233128
Si Estuviésemos Juntos|Bad Bunny|169248
Ser Bichote|Bad Bunny|193211
Dame Algo|Wisin & Yandel|237907
Amanece|Anuel AA|190005
Una Vez Más|Manuel Turizo|252000
Adictiva|Daddy Yankee|207853
Te Guste|Jennifer Lopez|222787
Asesina - Remix|Brytiago|327467
MIA (feat. Drake)|Bad Bunny|210368
Pasado y Presente|Ozuna|221387
Está Rico|Marc Anthony|215151
Como Soy|Pacho El Antifeka|312233
Darte|Alex Rose|239341
Culpables|Manuel Turizo|233930
Supuestamente|Ozuna|198587
¿Cual es tu plan?|Bad Bunny|243700
Vamos Pa' La Calle|Bad Bunny|207480
Satisfacción|Nicky Jam|256493
Modo de Avión|Anuel AA|220500
Hipócrita|Anuel AA|192000
Quiere Beber|Anuel AA|187125
Life Is Good (feat. Drake)|Future|237735
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX|Travis Scott|244874
Sum 2 Prove|Lil Baby|205760
The Box|Roddy Ricch|196653
Futsal Shuffle 2020|Lil Uzi Vert|198913
OUT WEST (feat. Young Thug)|JACKBOYS|157712
Hop Off A Jet (feat. Travis Scott)|Young Thug|174067
Heartless|The Weeknd|200080
Hot (Remix) [feat. Gunna and Travis Scott]|Young Thug|279907
Rockstar on the Moon|Dr.ive|167750
Woah|Lil Baby|183011
Reply (feat. Lil Uzi Vert)|A Boogie Wit da Hoodie|183589
Money In The Grave (Drake ft. Rick Ross)|Drake|205427
Immortal|21 Savage|254723
BOP|DaBaby|159715
Babushka Boi|A$AP Rocky|187105
Ransom|Lil Tecca|131248
Mannequin Challenge (feat. Juice WRLD)|Young Thug|162400
Baby (Lil Baby feat. DaBaby)|Quality Control|142417
Shotta Flow (Feat. Blueface) [Remix]|NLE Choppa|176632
Pink Toes (Offset, DaBaby feat. Gunna)|Quality Control|217220
Sextasy|Swae Lee|225037
Bless Em (Takeoff feat. Travis Scott)|Quality Control|180447
The London (feat. J. Cole & Travis Scott)|Young Thug|200107
Double Trouble (Quavo feat. Meek Mill)|Quality Control|176911
Goodbyes (Feat. Young Thug)|Post Malone|174960
Forever|Tory Lanez|172245
Broke Leg (with Quavo & Tyga)|Tory Lanez|165605
Wish Wish (feat. Cardi B & 21 Savage)|DJ Khaled|202625
That's a Rack|Lil Uzi Vert|236571
MIDDLE CHILD|J. Cole|213594
Freaky|Tory Lanez|173926
Swervin (feat. 6ix9ine)|A Boogie Wit da Hoodie|189487
Tic Toc (with Tory Lanez)|Rich The Kid|150041
Red Room|Offset|241440
Robbery|Juice WRLD|240437
First Off (feat. Travis Scott)|Future|228367
a lot|21 Savage|288624
Startender (feat. Offset and Tyga)|A Boogie Wit da Hoodie|192779
Wow.|Post Malone|149520
Hopeless Romantic (feat. Swae Lee)|Wiz Khalifa|225484
Grammys|Drake|220427
Bad and Boujee (feat. Lil Uzi Vert)|Migos|343150
No Complaints|Metro Boomin|261733
I Get The Bag (feat. Migos)|Gucci Mane|233087
SICKO MODE|Travis Scott|312820
Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell)|Mike WiLL Made-It|273087
No Stylist|French Montana|192172
Ice Tray|Quality Control|213613
goosebumps|Travis Scott|243837
Mo Bamba|Sheck Wes|180898
Fine China|Future|141587
Marvelous Day (feat. Lil Uzi Vert & Gunna)|Kap G|223921
Ric Flair Drip (& Metro Boomin)|Offset|172800
Narcos|Migos|255379
Patek Water|Future|189480
Met Gala (feat. Offset)|Gucci Mane|209143
Lucid Dreams|Juice WRLD|239836
Digital Dash|Drake|231231
Space Cadet (feat. Gunna)|Metro Boomin|203267
Pure Cocaine|Lil Baby|154024
monster|21 Savage|233040
BUTTERFLY EFFECT|Travis Scott|190678
all my friends|21 Savage|211785
Sin (feat. Jaden Smith)|Young Thug|202533
10 Freaky Girls (with 21 Savage)|Metro Boomin|208293
Seven Million (feat. Future)|Lil Uzi Vert|182491
Drip Too Hard|Lil Baby|145603
Look Alive (feat. Drake)|BlocBoy JB|181263
Feed Me Dope|Future|166693
Mall|Gucci Mane|167683
New Level REMIX|A$AP Ferg|251195
Paradise City|Guns N' Roses|405640
Shadow Of Your Love|Guns N' Roses|185573
Welcome To The Jungle|Guns N' Roses|272027
It's So Easy|Guns N' Roses|201360
Nightrain|Guns N' Roses|266173
Sweet Child O' Mine|Guns N' Roses|354520
Out Ta Get Me|Guns N' Roses|263867
Mr. Brownstone|Guns N' Roses|225707
Knockin' On Heaven's Door|Guns N' Roses|336000
Don't Cry (Original)|Guns N' Roses|284800
My Michelle|Guns N' Roses|218667
Think About You|Guns N' Roses|231600
You're Crazy|Guns N' Roses|197200
Anything Goes|Guns N' Roses|206360
Rocket Queen|Guns N' Roses|375307
Live And Let Die|Guns N' Roses|183973
You Could Be Mine|Guns N' Roses|343640
Patience|Guns N' Roses|354400
Used To Love Her|Guns N' Roses|191360
Double Talkin' Jive|Guns N' Roses|202040
Civil War|Guns N' Roses|462093
Since I Don't Have You|Guns N' Roses|261400
There Was A Time|Guns N' Roses|400693
14 Years|Guns N' Roses|261373
Attitude|Guns N' Roses|87000
Ain't It Fun|Guns N' Roses|305800
Don't Damn Me|Guns N' Roses|318867
Chinese Democracy|Guns N' Roses|283213
Right Next Door To Hell|Guns N' Roses|182293
New Rose|Guns N' Roses|158360
Better|Guns N' Roses|297227
Sorry|Guns N' Roses|374187
Sympathy For The Devil|Guns N' Roses|455560
Yesterdays|Guns N' Roses|196227
Raw Power|Guns N' Roses|191827
If The World|Guns N' Roses|293507
Hair Of The Dog|Guns N' Roses|234907
Black Leather|Guns N' Roses|248493
Shotgun Blues|Guns N' Roses|203000
Dust N' Bones|Guns N' Roses|298160
Pretty Tied Up (The Perils Of Rock N' Roll Decadence)|Guns N' Roses|287907
This I Love|Guns N' Roses|334373
Move To The City - Live In Japan / 1992|Guns N' Roses|475963
Knockin' On Heaven's Door - Live In London / 1992|Guns N' Roses|447160
Sweet Child O' Mine - Live In Paris / 1992|Guns N' Roses|445173
Reckless Life (Original Demo Version)|Hollywood Rose|280195
Take Me to Your Heart|Michael Learns To Rock|240640
The Actor - 2014 Remastered Version|Michael Learns To Rock|275000
Sleeping Child - 2014 Remastered Version|Michael Learns To Rock|216000
25 Minutes - 2014 Remastered Version|Michael Learns To Rock|264000
Complicated Heart - 2014 Remastered Version|Michael Learns To Rock|267000
Out of the Blue - 2014 Remastered Version|Michael Learns To Rock|241000
That's Why (You Go Away) - 2014 Remastered Version|Michael Learns To Rock|254000
I'm Gonna Be Around - 2014 Remastered Version|Michael Learns To Rock|262000
Paint My Love - 2014 Remastered Version|Michael Learns To Rock|231000
You Took My Heart Away - 2014 Remastered Version|Michael Learns To Rock|272000
All Out of Love|Air Supply|243000
You're the Inspiration - 2006 Remaster|Chicago|229240
Truly Madly Deeply|Savage Garden|279400
Band On The Run - Remastered 2010|Paul McCartney|313027
My Sweet Lord|George Harrison|281227
Jealous Guy - Remastered 2010|John Lennon|257787
Photograph|Ringo Starr|239760
How? - Remastered 2010|John Lennon|226280
Every Night - Remastered 2011|Paul McCartney|153413
Blow Away - 2004 Mix|George Harrison|240680
Maybe I’m Amazed - Remastered 2011|Paul McCartney|229827
Woman|John Lennon|212933
Jet - Remastered 2010|Paul McCartney|248360
Stand By Me - Remastered|John Lennon|211667
No-No Song|Ringo Starr|154693
Junk - Remastered 2011|Paul McCartney|115293
Love - Remastered 2010|John Lennon|202147
The Back Seat Of My Car|Paul McCartney|268533
Watching The Wheels|John Lennon|239933
Mind Games - Remastered 2010|John Lennon|253267
Bluebird - Remastered 2010|Paul McCartney|203160
Beautiful Boy (Darling Boy)|John Lennon|245693
What Is Life|George Harrison|264413
God - Remastered 2010|John Lennon|252773
Listen To What The Man Said - Remastered 2014|Wings|240987
Crippled Inside - Remastered 2010|John Lennon|232627
You're Sixteen (You’re Beautiful And You’re Mine)|Ringo Starr|169787
Let Me Roll It - Remastered 2010|Paul McCartney|289813
Power To The People|John Lennon|202560
Another Day|Paul McCartney|221840
If Not For You|George Harrison|210720
(Just Like) Starting Over|John Lennon|236547
Let 'Em In - Remastered 2014|Wings|311880
Mother - Remastered 2010|John Lennon|336307
Helen Wheels|Paul McCartney|224840
I Found Out - Remastered 2010|John Lennon|218000
Uncle Albert/Admiral Halsey|Paul McCartney|289467
Instant Karma! (We All Shine On)|John Lennon|201320
Not Guilty - 2004 Mix|George Harrison|214933
Heart Of The Country|Paul McCartney|143827
Oh Yoko! - Remastered 2010|John Lennon|257933
Mull Of Kintyre|Wings|284507
It Don't Come Easy|Ringo Starr|181880
Grow Old With Me|John Lennon|199040
Silly Love Songs - Remastered 2014|Wings|354240
Real Love - Anthology 2 Version|The Beatles|234053
My Love|Paul McCartney|248000
Oh My Love - Remastered 2010|John Lennon|168107
Give Me Love (Give Me Peace On Earth) - 2009 Digital Remaster|George Harrison|215267
Pipes Of Peace - Remastered 2015|Paul McCartney|235840
Imagine - Remastered|John Lennon|183973
Here Today - Remixed 2015|Paul McCartney|148853
All Things Must Pass - 2009 Digital Remaster|George Harrison|226920
And I Love Her - Live On MTV Unplugged|Paul McCartney|256933
Hi, How're You Doin'?|DREAMS COME TRUE|4000
Sweet Love|Junko Ohashi|289333
Futari No Natsu Monogatari Never Ending Summer|オメガトライブ|238467
Sweet Dancer|Mr Absolutt|301091
LOVE IN THE FIRST DEGREE ~悪いあなた~ (Remastered 2013)|Wink|241707
Brilliant White|Shizuka Kudo|314920
Dear Breeze|オメガトライブ|241360
Scramble Cross|オメガトライブ|269067
Misty Night Cruising|Kiyotaka Sugiyama|267893
Eastern Railroad|オメガトライブ|231000
Never Ending Summer I|オメガトライブ|337493
Never Ending Summer II|オメガトライブ|207773
Never Ending Summer III|オメガトライブ|211293
Asphalt Lady|オメガトライブ|311907
Do It Again|オメガトライブ|275000
Summer Suspicion|オメガトライブ|274160
Paddling To You|オメガトライブ|199440
Midnight Down Town|オメガトライブ|305733
Light Morning|オメガトライブ|264267
Umikaze Tsushin (海風通信)|オメガトライブ|279733
Transit In Summer|オメガトライブ|258893
Trade Wind|オメガトライブ|346933
Sexy Halation|Kiyotaka Sugiyama|273133
ROLLING MEMORIES|Kiyotaka Sugiyama|238373
RIVERSIDE HOTEL|Kiyotaka Sugiyama|277573
FAREWELL CALL|Kiyotaka Sugiyama|274600
ガラスのPALM TREE|オメガトライブ|271600
夕凪通信|オメガトライブ|277293
November Blue|オメガトライブ|273467
Remember the Brightness|オメガトライブ|271773
霧のDOWN TOWN|オメガトライブ|297093
survival dAnce 〜no no cry more〜|TRF|302700
Private Beach|Cosmic Cycler|141442
Platonic Dancer|オメガトライブ|298733
二度目のイヴ|オメガトライブ|295200
君はIN the RAIN|オメガトライブ|273467
First Finale|オメガトライブ|288667
KIMI NO HEART WA MARINE BLUE|Kiyotaka Sugiyama|293560
FUTARI NO NATSU MONOGATARI -NEVER ENDING SUMMER-|Kiyotaka Sugiyama|238400
JOANNA|Kiyotaka Sugiyama|279427
SILENCE GA IPPAI|Kiyotaka Sugiyama|284400
ASPHALT LADY|Kiyotaka Sugiyama|239067
AI O MAKIMODOSHITE|Kiyotaka Sugiyama|248333
Route 134|オメガトライブ|326733
Toi Hitomi|オメガトライブ|279240
Mayonaka No Screen Board|オメガトライブ|273933
Ai No Shinkiro|オメガトライブ|219733
The End of the River|オメガトライブ|308533
Twilight Bay City|オメガトライブ|251707
Riverside Hotel|オメガトライブ|277360
Stay the Night Forever|オメガトライブ|309107
Never Ending Summer IV ~Prolog|オメガトライブ|331933
River's Island|Kiyotaka Sugiyama|278160
Saturday's Generation|オメガトライブ|282427
君のハートはマリンブルー|オメガトライブ|294907
最後のナイト・フライト|オメガトライブ|275493
Because|オメガトライブ|257507
Rainy Harbor Light|オメガトライブ|252267
Silent Romance|オメガトライブ|295400
Alone Again|オメガトライブ|308373
My Only SUNSHINE|Junk Fujiyama|286121
Wanna Kiss|Hitomi Tohyama|270560
Still In Love|Shuya Okino|490601
Celebration|Junko Ohashi|275093
貴方しか見えない|Junko Ohashi|292240
恋に溺れて -Crazy About You-|Junko Ohashi|329400
男と女|Junko Ohashi|287333
Asayake|CASIOPEA|297867
Space Road|CASIOPEA|349533
Midnight Rendezvous|CASIOPEA|279440
Domino Line|CASIOPEA|285827
Hoshizora|CASIOPEA|253227
Black Joke|CASIOPEA|232440
Eyes of the Mind|CASIOPEA|325933
North Sea|CASIOPEA|194067
Misty Lady|CASIOPEA|265867
The Soundgraphy|CASIOPEA|228507
Looking Up|CASIOPEA|268040
Conjunction|CASIOPEA|172160
Take Me|CASIOPEA|294467
Down up Beat|CASIOPEA|249973
The Continental Way|CASIOPEA|293733
Coast to Coast|CASIOPEA|282667
Twilight Solitude|CASIOPEA|264227
Swear|CASIOPEA|299627
Galactic Funk|CASIOPEA|326240
Asian Dreamer|CASIOPEA|213227
Mystic Island|T-SQUARE|362720
Vivid|T-SQUARE|265347
Paradise|T-SQUARE|274773
Through the Thunderhead|T-SQUARE|411613
Kanojo to Mugiwaraboushi|T-SQUARE|346600
Knock Me Out|T-SQUARE|264307
Night Cruise|T-SQUARE|349520
Natsu No Owari|T-SQUARE|308867
Crush|Beckett|226647
Tourist In Paradise|The Rippingtons|341093
Miss Macross|Macross 82-99|149062
Moonlight Densetsu|Super3|172400
Cha La Head Chala|Super3|197240
All Over Now|The Cranberries|256387
Lost|The Cranberries|239947
Wake Me When It's Over|The Cranberries|251587
A Place I Know|The Cranberries|266467
Catch Me If You Can|The Cranberries|278240
Got It|The Cranberries|242320
Illusion|The Cranberries|247453
Crazy Heart|The Cranberries|205480
Summer Song|The Cranberries|214400
The Pressure|The Cranberries|201760
In the End|The Cranberries|176880
Ridiculous Thoughts|The Cranberries|271867
When You're Gone|The Cranberries|296200
Animal Instinct|The Cranberries|211067
Ode To My Family|The Cranberries|270707
Zombie|The Cranberries|306427
Just My Imagination|The Cranberries|221293
Free To Decide|The Cranberries|265067
Dreams|The Cranberries|271560
Promises|The Cranberries|327573
I Can't Be With You|The Cranberries|187827
Twenty One|The Cranberries|187907
Salvation|The Cranberries|142907
Pretty|The Cranberries|136200
Liar|The Cranberries|141587
How|The Cranberries|171840
Dreaming My Dreams|The Cranberries|216333
Analyse|The Cranberries|250040
Linger|The Cranberries|274707
You And Me|The Cranberries|215533
Empty|The Cranberries|206173
Yeats' Grave|The Cranberries|179573
Everything I Said|The Cranberries|232760
No Need To Argue|The Cranberries|174667
Sunday|The Cranberries|211067
Daffodil Lament|The Cranberries|368027
Hollywood|The Cranberries|307333
This Is The Day|The Cranberries|255000
Disappointment|The Cranberries|254733
The Icicle Melts|The Cranberries|174000
I Still Do|The Cranberries|196107
Linger - Acoustic Version|The Cranberries|295867
Pour Some Sugar On Me|Def Leppard|267307
Photograph|Def Leppard|247962
Love Bites|Def Leppard|346960
Let's Get Rocked|Def Leppard|295957
Two Steps Behind - Electric Version|Def Leppard|270602
Animal|Def Leppard|244560
Heaven Is|Def Leppard|213848
Rocket|Def Leppard|396823
Action - Revised Version|Def Leppard|220461
Make Love Like A Man|Def Leppard|255624
Armageddon It|Def Leppard|322867
Have You Ever Needed Someone So Bad|Def Leppard|324027
Rock Of Ages|Def Leppard|247829
Hysteria|Def Leppard|354636
Bringin' On The Heartbreak|Def Leppard|273733
Foolin'|Def Leppard|274118
Wake Me Up Before You Go-Go|Wham!|230693
I Feel for You|Chaka Khan|343400
Can't Fight This Feeling|REO Speedwagon|294773
St. Elmos Fire (Man in Motion)|John Parr|251800
Saving All My Love for You|Whitney Houston|238467
Heaven|Bryan Adams|243667
Everything She Wants|Wham!|302373
Cool It Now - Single Version|New Edition|249600
Miami Vice Theme|Jan Hammer|147600
Oh Sheila|Ready For The World|240093
Sea of Love - 2006 Remaster|The Honeydrippers|183880
Neutron Dance|The Pointer Sisters|253227
Nightshift|Commodores|306560
You Give Good Love|Whitney Houston|277240
The Search Is Over|Survivor|253187
Obsession|Animotion|337227
"Axel F - From ""Beverly Hills Cop"" Soundtrack"|Harold Faltermeyer|180373
Smooth Operator - Remastered|Sade|256147
In My House|Mary Jane Girls|236840
Run To You|Bryan Adams|233467
Glory Days|Bruce Springsteen|259267
Voices Carry|'Til Tuesday|260600
Would I Lie to You? - Remastered Version|Eurythmics|268240
No More Lonely Nights|Paul McCartney|287693
I Can't Hold Back|Survivor|238347
Too Late For Goodbyes|Julian Lennon|210840
Valotte|Julian Lennon|254507
Some Like It Hot - 2005 Remaster|The Power Station|305467
Solid|Ashford & Simpson|312000
I'm On Fire|Bruce Springsteen|154267
What About Love?|Heart|221107
California Girls|David Lee Roth|171456
Do What You Do|Jermaine Jackson|287000
We Built This City|Starship|296080
That's What Friends Are For|Dionne Warwick|256467
On My Own|Patti LaBelle|291627
Broken Wings|Mr. Mister|345840
How Will I Know|Whitney Houston|275533
Party All the Time|Eddie Murphy|253293
"Burning Heart - From ""Rocky IV"" Soundtrack"|Survivor|230720
Kyrie - Single Version|Mr. Mister|256960
Greatest Love of All|Whitney Houston|291400
Friends And Lovers (feat. Gloria Loring)|Carl Anderson|226560
Glory of Love|Peter Cetera|258120
Alive And Kicking - 2002 Digital Remaster|Simple Minds|326120
Never|Heart|246400
Higher Love - Full Album Version|Steve Winwood|351507
Sara|Starship|285942
Human|The Human League|265320
I Can't Wait|Nu Shooz|220386
Take My Breath Away|Berlin|264213
Rock Me Amadeus|Falco|203173
These Dreams|Heart|254960
